adresse,code_postal,ville,adrs
41 rue de Rome,13001,Marseille,41 rue de Rome
1 rue de la Palud,13001,Marseille,1 rue de la Palud
4 rue Pytheas,13001,Marseille,4 rue Pytheas
15 rue de la Fare,13001,Marseille,15 rue de la Fare
17 rue Moustier,13001,Marseille,17 rue Moustier
24 cours Lieutaud,13001,Marseille,24 cours Lieutaud
26 cours Lieutaud,13001,Marseille,26 cours Lieutaud
3 rue Francis de Pressensé,13001,Marseille,3 rue Francis de Pressensé
4 rue d'Aix,13001,Marseille,4 rue d'Aix
3 rue de la Palud,13001,Marseille,3 rue de la Palud
24 rue Rodolphe Pollak,13001,Marseille,24 rue Rodolphe Pollak
20 boulevard Garibaldi,13001,Marseille,20 boulevard Garibaldi
18 rue Jean Roque,13001,Marseille,18 rue Jean Roque
24 rue Vacon,13001,Marseille,24 rue Vacon
19 rue Nationale,13001,Marseille,19 rue Nationale
1 cours Jean Ballard,13001,Marseille,1 cours Jean Ballard
1 rue Lafayette,13001,Marseille,1 rue Lafayette
71 rue d'Aubagne,13001,Marseille,71 rue d'Aubagne
79 rue d'Aubagne,13001,Marseille,79 rue d'Aubagne
81 rue d'Aubagne,13001,Marseille,81 rue d'Aubagne
83 rue d'Aubagne,13001,Marseille,83 rue d'Aubagne
12 rue Chateauredon,13001,Marseille,12 rue Chateauredon
21 rue des Petites Maries,13001,Marseille,21 rue des Petites Maries
15 rue Saint-Bazile,13001,Marseille,15 rue Saint-Bazile
38 rue du Tapis Vert,13001,Marseille,38 rue du Tapis Vert
12a boulevard Dugommier,13001,Marseille,12a boulevard Dugommier
10 rue Glandèves / 22 rue Saint-Saëns,13001,Marseille,10 rue Glandèves
10 rue Glandèves / 22 rue Saint-Saëns,13001,Marseille,22 rue Saint-Saëns
9 rue de la Fare,13001,Marseille,9 rue de la Fare
25 rue des Dominicaines,13001,Marseille,25 rue des Dominicaines
25 boulevard de la Libération,13001,Marseille,25 boulevard de la Libération
76 rue nationale,13001,Marseille,76 rue nationale
1 Traverse Saint-Bazile,13001,Marseille,1 Traverse Saint-Bazile
20 rue des Petites Maries,13001,Marseille,20 rue des Petites Maries
29 rue Tapis Vert,13001,Marseille,29 rue Tapis Vert
"31, 33 rue Adolphe Thiers",13001,Marseille,"31, 33 rue Adolphe Thiers"
1 Bis Rue D'Isoard,13001,Marseille,1 Bis Rue D'Isoard
20 rue Chateauredon,13001,Marseille,20 rue Chateauredon
