classe,arrondissement,item,nom_doc,url,adresse,code_postal,ville,doc_grp_idx,doc_grp_rel_idx,adrs,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_citycode,result_district,erreurs,nom_txt,nom_pdf,err_missing_pdf,err_bad_url,err_missing_txt,err_bad_pdf,err_date,err_adresse,err_pathologies
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,41 rue de Rome : Arrêté du 17/11/2018 - Arrêté modificatif du 23/12/2018,Arrêté du 17/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/41-rue-de-rome-pi_2018_02952-final.pdf,41 rue de Rome,13001.0,Marseille,0,0,41 rue de Rome,43.294193,5.379158,41 Rue de Rome 13001 Marseille,0.97,housenumber,13201_8024_00041,41,Rue de Rome,,13001,Marseille,13201,Marseille 1er Arrondissement,False,41-rue-de-rome-pi_2018_02952-final.txt,41-rue-de-rome-pi_2018_02952-final.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,41 rue de Rome : Arrêté du 17/11/2018 - Arrêté modificatif du 23/12/2018,Arrêté modificatif du 23/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/41-rue-de-rome-13001_2018_03462_modificatif-du-41-rue-de-rome.pdf,41 rue de Rome,13001.0,Marseille,0,1,41 rue de Rome,43.294193,5.379158,41 Rue de Rome 13001 Marseille,0.97,housenumber,13201_8024_00041,41,Rue de Rome,,13001,Marseille,13201,Marseille 1er Arrondissement,False,41-rue-de-rome-13001_2018_03462_modificatif-du-41-rue-de-rome.txt,41-rue-de-rome-13001_2018_03462_modificatif-du-41-rue-de-rome.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,1 rue de la Palud,1 rue de la Palud ,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/1-rue-de-le-palud-2018_02948-edited-2.pdf,1 rue de la Palud,13001.0,Marseille,1,0,1 rue de la Palud,43.294829,5.37892,1 Rue de la Palud 13001 Marseille,0.97,housenumber,13201_6757_00001,1,Rue de la Palud,,13001,Marseille,13201,Marseille 1er Arrondissement,False,1-rue-de-le-palud-2018_02948-edited-2.txt,1-rue-de-le-palud-2018_02948-edited-2.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,4 rue Pytheas - Arrêté modificatif du 11/02/2020 - Arrêté de péril du 13/08/2020,4 rue Pytheas ,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-rue-pytheas-arrete_pi_2018_02930-final.pdf,4 rue Pytheas,13001.0,Marseille,2,0,4 rue Pytheas,43.294474,5.37553,4 Rue Pytheas 13001 Marseille,0.96,housenumber,13201_7651_00004,4,Rue Pytheas,,13001,Marseille,13201,Marseille 1er Arrondissement,False,4-rue-pytheas-arrete_pi_2018_02930-final.txt,4-rue-pytheas-arrete_pi_2018_02930-final.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,4 rue Pytheas - Arrêté modificatif du 11/02/2020 - Arrêté de péril du 13/08/2020,Arrêté modificatif du 11/02/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-rue-pytheas-130021_2020_00380.pdf,4 rue Pytheas,13001.0,Marseille,2,1,4 rue Pytheas,43.294474,5.37553,4 Rue Pytheas 13001 Marseille,0.96,housenumber,13201_7651_00004,4,Rue Pytheas,,13001,Marseille,13201,Marseille 1er Arrondissement,False,,,True,False,True,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,4 rue Pytheas - Arrêté modificatif du 11/02/2020 - Arrêté de péril du 13/08/2020,Arrêté de péril du 13/08/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/po_2020_01674_-4-ruepytheas-13001-vdm.pdf,4 rue Pytheas,13001.0,Marseille,2,2,4 rue Pytheas,43.294474,5.37553,4 Rue Pytheas 13001 Marseille,0.96,housenumber,13201_7651_00004,4,Rue Pytheas,,13001,Marseille,13201,Marseille 1er Arrondissement,False,po_2020_01674_-4-ruepytheas-13001-vdm.txt,po_2020_01674_-4-ruepytheas-13001-vdm.pdf,False,False,False,False,False,False,True
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,15 rue de la Fare : Arrêté de péril du 17/11/2018 - Main Levée du 21/01/2019,Arrêté de péril du 17/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/15-rue-de-la-fare-pi_2018_02950-edited-2.pdf,15 rue de la Fare,13001.0,Marseille,3,0,15 rue de la Fare,43.300756,5.378043,15 Rue de la Fare 13001 Marseille,0.97,housenumber,13201_3346_00015,15,Rue de la Fare,,13001,Marseille,13201,Marseille 1er Arrondissement,False,15-rue-de-la-fare-pi_2018_02950-edited-2.txt,15-rue-de-la-fare-pi_2018_02950-edited-2.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,15 rue de la Fare : Arrêté de péril du 17/11/2018 - Main Levée du 21/01/2019,Main Levée du 21/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/15-rue-la-fare-13001_ML_2019_00228.pdf,15 rue de la Fare,13001.0,Marseille,3,1,15 rue de la Fare,43.300756,5.378043,15 Rue de la Fare 13001 Marseille,0.97,housenumber,13201_3346_00015,15,Rue de la Fare,,13001,Marseille,13201,Marseille 1er Arrondissement,False,15-rue-la-fare-13001_ML_2019_00228.txt,15-rue-la-fare-13001_ML_2019_00228.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,17 rue Moustier : Arrêté de péril du 17/11/2018 - Main Levée partielle du 13/12/2018 - Main levée du 20/12/2018,Arrêté de péril du 17/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/17-rue-moustier-pi_2018_02954-edited-2.pdf,17 rue Moustier,13001.0,Marseille,4,0,17 rue Moustier,43.294197,5.38056,17 Rue Jean-Pierre Moustier 13001 Marseille,0.71,housenumber,13201_6386_00017,17,Rue Jean-Pierre Moustier,,13001,Marseille,13201,Marseille 1er Arrondissement,False,17-rue-moustier-pi_2018_02954-edited-2.txt,17-rue-moustier-pi_2018_02954-edited-2.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,17 rue Moustier : Arrêté de péril du 17/11/2018 - Main Levée partielle du 13/12/2018 - Main levée du 20/12/2018,Main Levée partielle du 13/12/2018 ,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ML_partielle-17-rue-Moustier-13001_2018_03312.pdf,17 rue Moustier,13001.0,Marseille,4,1,17 rue Moustier,43.294197,5.38056,17 Rue Jean-Pierre Moustier 13001 Marseille,0.71,housenumber,13201_6386_00017,17,Rue Jean-Pierre Moustier,,13001,Marseille,13201,Marseille 1er Arrondissement,False,ML_partielle-17-rue-Moustier-13001_2018_03312.txt,ML_partielle-17-rue-Moustier-13001_2018_03312.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",1er arrondissement,17 rue Moustier : Arrêté de péril du 17/11/2018 - Main Levée partielle du 13/12/2018 - Main levée du 20/12/2018,Main levée du 20/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-17-rue-moustier-13001-2018-03449.pdf,17 rue Moustier,13001.0,Marseille,4,2,17 rue Moustier,43.294197,5.38056,17 Rue Jean-Pierre Moustier 13001 Marseille,0.71,housenumber,13201_6386_00017,17,Rue Jean-Pierre Moustier,,13001,Marseille,13201,Marseille 1er Arrondissement,False,ml-17-rue-moustier-13001-2018-03449.txt,ml-17-rue-moustier-13001-2018-03449.pdf,False,False,False,False,False,False,False
