classe,arrondissement,item,nom_doc,url,adresse,code_postal
CONSULTEZ LES DERNIERS ARRÊTÉS DE POLICE GÉNÉRALE,1er arrondissement,20 rue de l'Académie : Arrêté de police générale du maire – Local commercial rez-de-chaussée gauche et cave de l'immeuble en date du 24/09/2020 – Abrogation du 08/10/2020,Arrêté de police générale du maire – Local commercial rez-de-chaussée gauche et cave de l'immeuble en date du 24/09/2020,http://Arrêté de police 20 rue de l'Académie - 13001 - abrogation du 08/10/2020,20 rue de l'Académie,13001
?,1er arrondissement,20 rue de l'Académie : Arrêté de police générale du maire – Local commercial rez-de-chaussée gauche et cave de l'immeuble en date du 24/09/2020 – Abrogation du 08/10/2020,Abrogation du 08/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/abrogation-20-rue-academie-13001-2020_02308_arrete-police-generale.pdf,20 rue de l'Académie,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,4 rue d'Aix : Arrêté de péril imminent du 23/04/2018,Arrêté de péril imminent du 23/04/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-rue-d-aix-13001-PI-2018_03012-edited-2.pdf,4 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,18 rue d'Aix : Arrêté de péril grave et imminent du 05/01/2019 – Main levée de péril grave et imminent du 29/01/2019,Arrêté de péril grave et imminent du 05/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/18-rue-d-aix-13001-pi_2019_00041.pdf,18 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,18 rue d'Aix : Arrêté de péril grave et imminent du 05/01/2019 – Main levée de péril grave et imminent du 29/01/2019,Main levée de péril grave et imminent du 29/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/18-rue-d-aix-13001_ml_2019_01088.pdf,18 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,30 rue d'Aix :  Arrêté de péril grave et imminent du 30/01/2020,Arrêté de péril grave et imminent du 30/01/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_30-rue-d-aix-13001_2020_00273_vdm.pdf,30 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,44 rue d'Aix :  Arrêté de péril imminent du 11/02/2019 - Arrêté de mise en sécurité du 07/05/2021,Arrêté de péril imminent du 11/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/44-RUE-D-AIX-13001_2019_00492.pdf,44 rue d'Aix,13001
Arrêtés de mise en sécurité,1er arrondissement,44 rue d'Aix :  Arrêté de péril imminent du 11/02/2019 - Arrêté de mise en sécurité du 07/05/2021,Arrêté de mise en sécurité du 07/05/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/44-rue-d-aix-13001_2021_01251.pdf,44 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,2 rue d'Anvers : Arrêté de main levée de péril imminent du 22/04/2021,Arrêté de main levée de péril imminent du 22/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/2-rue-danvers-13001_ml_2021_01113_22-04-2021.pdf,2 rue d'Anvers,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,20 rue d'Anvers : Arrêté de péril grave et imminent du 01/02/2019 – Arrêté de mise en sécurité du 23/04/2021,Arrêté de péril grave et imminent du 01/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/20-RUE-D-ANVERS-13001_2019_00405.pdf,20 rue d'Anvers,13001
Arrêtés de mise en sécurité,1er arrondissement,20 rue d'Anvers : Arrêté de péril grave et imminent du 01/02/2019 – Arrêté de mise en sécurité du 23/04/2021,Arrêté de mise en sécurité du 23/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/20-rue-danvers-13001_m.s_2021_01126_23-avril-2021.pdf,20 rue d'Anvers,13001
Arrêtés de mise en sécurité urgente,1er arrondissement,7 boulevard d'Athènes : Arrêté de mise en sécurité urgente du 18/06/2021,Arrêté de mise en sécurité urgente du 18/06/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/7-bd-d-athenes-13001_msu_2021_01725_18-juin-2021_ano.pdf,7 boulevard d'Athènes,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,9 boulevard d'Athènes : Arrêté de péril grave et imminent du 18/02/2019,Arrêté de péril grave et imminent du 18/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/9-BOULEVARD-D-ATHENES-13001_2019_00554.pdf,9 boulevard d'Athènes,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIMÈTRES DE SÉCURITÉ SUR VOIE PUBLIQUE,1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/arrete_mise_en_place_perimetre_de_securite.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIMÈTRES DE SÉCURITÉ SUR VOIE PUBLIQUE,1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/Arrete_modificatif_perimetre_AUBAGNE_5-12-2018.pdf,Rue d'Aubagne et rue Jean Roque,13001
